Song,Album,Lyric,Previous Lyric,Next Lyric,Multiplicity
Simmer,Petals for Armor,Rage is a quiet thing,,"Ooh, you think that you've tamed it",1
Simmer,Petals for Armor,"Ooh, you think that you've tamed it",Rage is a quiet thing,But it's just lying in wait,1
Simmer,Petals for Armor,But it's just lying in wait,"Ooh, you think that you've tamed it","Rage, is it in our veins?",1
Simmer,Petals for Armor,"Rage, is it in our veins?",But it's just lying in wait,Feel it in my face when,1
Simmer,Petals for Armor,Feel it in my face when,"Rage, is it in our veins?",When I least expect it,1
Simmer,Petals for Armor,When I least expect it,Feel it in my face when,Give in,1
Simmer,Petals for Armor,Give in,When I least expect it,Control,1
Simmer,Petals for Armor,Control,Give in,There's so many ways to give in,3
Simmer,Petals for Armor,There's so many ways to give in,Control,Eyes closed,6
Simmer,Petals for Armor,Eyes closed,There's so many ways to give in,Another way to make it to ten,6
Simmer,Petals for Armor,Another way to make it to ten,Eyes closed,"Oh, how to draw the line between wrath and mercy?",6
Simmer,Petals for Armor,"Oh, how to draw the line between wrath and mercy?",Another way to make it to ten,"Gotta simmer, simmer, simmer, simmer, simmer down",3
Simmer,Petals for Armor,"Gotta simmer, simmer, simmer, simmer, simmer down","Oh, how to draw the line between wrath and mercy?",Control,2
Simmer,Petals for Armor,Control,"Gotta simmer, simmer, simmer, simmer, simmer down",There's so many ways to give in,2
Simmer,Petals for Armor,"Gotta simmer, simmer, simmer, simmer, simmer down","Oh, how to draw the line between wrath and mercy?",If I had seen my reflection,1
Simmer,Petals for Armor,If I had seen my reflection,"Gotta simmer, simmer, simmer, simmer, simmer down",As something more precious,1
Simmer,Petals for Armor,As something more precious,If I had seen my reflection,He would've never,1
Simmer,Petals for Armor,He would've never,As something more precious,"Mmm, and if my child needed protection",1
Simmer,Petals for Armor,"Mmm, and if my child needed protection",He would've never,From a fucker like that man,1
Simmer,Petals for Armor,From a fucker like that man,"Mmm, and if my child needed protection",I'd sooner gut him,1
Simmer,Petals for Armor,I'd sooner gut him,From a fucker like that man,'Cause nothing cuts like a mother,1
Simmer,Petals for Armor,'Cause nothing cuts like a mother,I'd sooner gut him,Give in,1
Simmer,Petals for Armor,Give in,'Cause nothing cuts like a mother,Control,1
Simmer,Petals for Armor,"Oh, how to draw the line between wrath and mercy?",Another way to make it to ten,"Simmer, simmer, simmer, simmer, simmer down",1
Simmer,Petals for Armor,"Simmer, simmer, simmer, simmer, simmer down","Oh, how to draw the line between wrath and mercy?",Control,1
Simmer,Petals for Armor,Control,"Simmer, simmer, simmer, simmer, simmer down",There's so many ways to give in,1
Simmer,Petals for Armor,"Oh, how to draw the line between wrath and mercy?",Another way to make it to ten,"(Simmer, simmer, simmer, simmer, simmer, simmer)",1
Simmer,Petals for Armor,"(Simmer, simmer, simmer, simmer, simmer, simmer)","Oh, how to draw the line between wrath and mercy?","Gotta simmer, simmer, simmer, simmer, simmer down",1
Simmer,Petals for Armor,"Gotta simmer, simmer, simmer, simmer, simmer down","(Simmer, simmer, simmer, simmer, simmer, simmer)","(Simmer, simmer, simmer, simmer)",1
Simmer,Petals for Armor,"(Simmer, simmer, simmer, simmer)","Gotta simmer, simmer, simmer, simmer, simmer down","(Simmer, simmer, simmer, simmer, simmer)",1
Simmer,Petals for Armor,"(Simmer, simmer, simmer, simmer, simmer)","(Simmer, simmer, simmer, simmer)",Wrap yourself in petals,1
Simmer,Petals for Armor,Wrap yourself in petals,"(Simmer, simmer, simmer, simmer, simmer)",(Yourself),1
Simmer,Petals for Armor,(Yourself),Wrap yourself in petals,Wrap yourself in petals,1
Simmer,Petals for Armor,Wrap yourself in petals,(Yourself),"(Control, yourself)",1
Simmer,Petals for Armor,"(Control, yourself)",Wrap yourself in petals,Wrap yourself in petals for armor,1
Simmer,Petals for Armor,Wrap yourself in petals for armor,"(Control, yourself)","(Control, control)",1
Simmer,Petals for Armor,"(Control, control)",Wrap yourself in petals for armor,"(Simmer, simmer, simmer, simmer, simmer, simmer)",1
Simmer,Petals for Armor,"(Simmer, simmer, simmer, simmer, simmer, simmer)","(Control, control)",Petals,1
Simmer,Petals for Armor,Petals,"(Simmer, simmer, simmer, simmer, simmer, simmer)","(Simmer, simmer, simmer, simmer, simmer)",1
Simmer,Petals for Armor,"(Simmer, simmer, simmer, simmer, simmer)",Petals,For armor,1
Simmer,Petals for Armor,For armor,"(Simmer, simmer, simmer, simmer, simmer)","(Simmer, simmer, simmer, simmer, simmer, simmer)",1
Simmer,Petals for Armor,"(Simmer, simmer, simmer, simmer, simmer, simmer)",For armor,"(Simmer, simmer, simmer)",1
Simmer,Petals for Armor,"(Simmer, simmer, simmer)","(Simmer, simmer, simmer, simmer, simmer, simmer)",Give in,1
Simmer,Petals for Armor,Give in,"(Simmer, simmer, simmer)",Control,1
Simmer,Petals for Armor,"Oh, how to draw the line between wrath and mercy?",Another way to make it to ten,"Gotta simmer, simmer, simmer",1
Simmer,Petals for Armor,"Gotta simmer, simmer, simmer","Oh, how to draw the line between wrath and mercy?",,1
Leave It Alone,Petals for Armor,Don't nobody tell me,,That God don't have a sense of humor,1
Leave It Alone,Petals for Armor,That God don't have a sense of humor,Don't nobody tell me,'Cause now that I want to live,1
Leave It Alone,Petals for Armor,'Cause now that I want to live,That God don't have a sense of humor,"Well, everybody around me is dying",1
Leave It Alone,Petals for Armor,"Well, everybody around me is dying",'Cause now that I want to live,Now that I finally wanna live,1
Leave It Alone,Petals for Armor,Now that I finally wanna live,"Well, everybody around me is dying",The ones I love are dyin',1
Leave It Alone,Petals for Armor,The ones I love are dyin',Now that I finally wanna live,Becoming friends with a noose that I made,1
Leave It Alone,Petals for Armor,Becoming friends with a noose that I made,The ones I love are dyin',And I keep tryin' to untie it,1
